Target_ID,Category_ID,Variable_ID,Missing_Rate,Status,Reason
tomato_total_flower,CAT_034,item_code,,needs_review,as-of validity and units require verification
tomato_total_flower,CAT_034,cropping_system,,needs_review,as-of validity and units require verification
tomato_total_flower,CAT_019,cultivation_area,,needs_review,as-of validity and units require verification
tomato_total_flower,CAT_019,cal_cultivation_area,,needs_review,as-of validity and units require verification
tomato_total_flower,CAT_019,plant_num,,needs_review,as-of validity and units require verification
tomato_total_flower,CAT_019,cal_plant_num,,needs_review,as-of validity and units require verification
tomato_total_flower,CAT_019,plant_density,,needs_review,as-of validity and units require verification
tomato_total_flower,CAT_027,leaves_length__current,,needs_review,measurement unit/provenance must be verified
tomato_total_flower,CAT_027,leaves_length__delta,,needs_review,measurement unit/provenance must be verified
tomato_total_flower,CAT_027,leaves_length__delta_per_day,,needs_review,measurement unit/provenance must be verified
tomato_total_flower,CAT_027,leaves_length__lag1,,needs_review,measurement unit/provenance must be verified
tomato_total_flower,CAT_027,leaves_length__lag2,,needs_review,measurement unit/provenance must be verified
tomato_total_flower,CAT_027,leaves_length__lag3,,needs_review,measurement unit/provenance must be verified
tomato_total_flower,CAT_027,leaves_length__roll2_mean,,needs_review,measurement unit/provenance must be verified
tomato_total_flower,CAT_027,leaves_length__roll2_std,,needs_review,measurement unit/provenance must be verified
tomato_total_flower,CAT_027,leaves_length__roll2_min,,needs_review,measurement unit/provenance must be verified
tomato_total_flower,CAT_027,leaves_length__roll2_max,,needs_review,measurement unit/provenance must be verified
tomato_total_flower,CAT_027,leaves_length__roll2_slope,,needs_review,measurement unit/provenance must be verified
tomato_total_flower,CAT_027,leaves_length__roll3_mean,,needs_review,measurement unit/provenance must be verified
tomato_total_flower,CAT_027,leaves_length__roll3_std,,needs_review,measurement unit/provenance must be verified
tomato_total_flower,CAT_027,leaves_length__roll3_min,,needs_review,measurement unit/provenance must be verified
tomato_total_flower,CAT_027,leaves_length__roll3_max,,needs_review,measurement unit/provenance must be verified
tomato_total_flower,CAT_027,leaves_length__roll3_slope,,needs_review,measurement unit/provenance must be verified
tomato_total_flower,CAT_027,leaves_length__roll4_mean,,needs_review,measurement unit/provenance must be verified
tomato_total_flower,CAT_027,leaves_length__roll4_std,,needs_review,measurement unit/provenance must be verified
tomato_total_flower,CAT_027,leaves_length__roll4_min,,needs_review,measurement unit/provenance must be verified
tomato_total_flower,CAT_027,leaves_length__roll4_max,,needs_review,measurement unit/provenance must be verified
tomato_total_flower,CAT_027,leaves_length__roll4_slope,,needs_review,measurement unit/provenance must be verified
tomato_total_flower,CAT_027,leaves_num__current,,needs_review,raw history required
tomato_total_flower,CAT_027,leaves_num__delta,,needs_review,raw history required
tomato_total_flower,CAT_027,leaves_num__delta_per_day,,needs_review,raw history required
tomato_total_flower,CAT_027,leaves_num__lag1,,needs_review,raw history required
tomato_total_flower,CAT_027,leaves_num__lag2,,needs_review,raw history required
tomato_total_flower,CAT_027,leaves_num__lag3,,needs_review,raw history required
tomato_total_flower,CAT_027,leaves_num__roll2_mean,,needs_review,raw history required
tomato_total_flower,CAT_027,leaves_num__roll2_std,,needs_review,raw history required
tomato_total_flower,CAT_027,leaves_num__roll2_min,,needs_review,raw history required
tomato_total_flower,CAT_027,leaves_num__roll2_max,,needs_review,raw history required
tomato_total_flower,CAT_027,leaves_num__roll2_slope,,needs_review,raw history required
tomato_total_flower,CAT_027,leaves_num__roll3_mean,,needs_review,raw history required
tomato_total_flower,CAT_027,leaves_num__roll3_std,,needs_review,raw history required
tomato_total_flower,CAT_027,leaves_num__roll3_min,,needs_review,raw history required
tomato_total_flower,CAT_027,leaves_num__roll3_max,,needs_review,raw history required
tomato_total_flower,CAT_027,leaves_num__roll3_slope,,needs_review,raw history required
tomato_total_flower,CAT_027,leaves_num__roll4_mean,,needs_review,raw history required
tomato_total_flower,CAT_027,leaves_num__roll4_std,,needs_review,raw history required
tomato_total_flower,CAT_027,leaves_num__roll4_min,,needs_review,raw history required
