Category_ID,Variable_ID
CAT_034,item_code
CAT_034,cropping_system
CAT_019,cultivation_area
CAT_019,cal_cultivation_area
CAT_019,plant_num
CAT_019,cal_plant_num
CAT_019,plant_density
CAT_027,leaves_length__current
CAT_027,leaves_length__delta
CAT_027,leaves_length__delta_per_day
CAT_027,leaves_length__lag1
CAT_027,leaves_length__lag2
CAT_027,leaves_length__lag3
CAT_027,leaves_length__roll2_mean
CAT_027,leaves_length__roll2_std
CAT_027,leaves_length__roll2_min
CAT_027,leaves_length__roll2_max
CAT_027,leaves_length__roll2_slope
CAT_027,leaves_length__roll3_mean
CAT_027,leaves_length__roll3_std
CAT_027,leaves_length__roll3_min
CAT_027,leaves_length__roll3_max
CAT_027,leaves_length__roll3_slope
CAT_027,leaves_length__roll4_mean
CAT_027,leaves_length__roll4_std
CAT_027,leaves_length__roll4_min
CAT_027,leaves_length__roll4_max
CAT_027,leaves_length__roll4_slope
CAT_027,leaves_num__current
CAT_027,leaves_num__delta
CAT_027,leaves_num__delta_per_day
CAT_027,leaves_num__lag1
CAT_027,leaves_num__lag2
CAT_027,leaves_num__lag3
CAT_027,leaves_num__roll2_mean
CAT_027,leaves_num__roll2_std
CAT_027,leaves_num__roll2_min
CAT_027,leaves_num__roll2_max
CAT_027,leaves_num__roll2_slope
CAT_027,leaves_num__roll3_mean
CAT_027,leaves_num__roll3_std
CAT_027,leaves_num__roll3_min
CAT_027,leaves_num__roll3_max
CAT_027,leaves_num__roll3_slope
CAT_027,leaves_num__roll4_mean
CAT_027,leaves_num__roll4_std
CAT_027,leaves_num__roll4_min
CAT_027,leaves_num__roll4_max
CAT_027,leaves_num__roll4_slope
CAT_027,leaves_width__current
CAT_027,leaves_width__delta
CAT_027,leaves_width__delta_per_day
CAT_027,leaves_width__lag1
CAT_027,leaves_width__lag2
CAT_027,leaves_width__lag3
CAT_027,leaves_width__roll2_mean
CAT_027,leaves_width__roll2_std
CAT_027,leaves_width__roll2_min
CAT_027,leaves_width__roll2_max
CAT_027,leaves_width__roll2_slope
CAT_027,leaves_width__roll3_mean
CAT_027,leaves_width__roll3_std
CAT_027,leaves_width__roll3_min
CAT_027,leaves_width__roll3_max
CAT_027,leaves_width__roll3_slope
CAT_027,leaves_width__roll4_mean
CAT_027,leaves_width__roll4_std
CAT_027,leaves_width__roll4_min
CAT_027,leaves_width__roll4_max
CAT_027,leaves_width__roll4_slope
CAT_027,petiole_length__current
CAT_027,petiole_length__delta
CAT_027,petiole_length__delta_per_day
CAT_027,petiole_length__lag1
CAT_027,petiole_length__lag2
CAT_027,petiole_length__lag3
CAT_027,petiole_length__roll2_mean
CAT_027,petiole_length__roll2_std
CAT_027,petiole_length__roll2_min
CAT_027,petiole_length__roll2_max
CAT_027,petiole_length__roll2_slope
CAT_027,petiole_length__roll3_mean
CAT_027,petiole_length__roll3_std
CAT_027,petiole_length__roll3_min
CAT_027,petiole_length__roll3_max
CAT_027,petiole_length__roll3_slope
CAT_027,petiole_length__roll4_mean
CAT_027,petiole_length__roll4_std
CAT_027,petiole_length__roll4_min
CAT_027,petiole_length__roll4_max
CAT_027,petiole_length__roll4_slope
CAT_012,stem_diameter__current
CAT_012,stem_diameter__delta
CAT_012,stem_diameter__delta_per_day
CAT_012,stem_diameter__lag1
CAT_012,stem_diameter__lag2
CAT_012,stem_diameter__lag3
CAT_012,stem_diameter__roll2_mean
CAT_012,stem_diameter__roll2_std
