Source_Table,Source_Field_or_Code,Description,Data_Type,Evidence,Status
sfkr_pvsn_crop,sn,,int(11),local_schema_snapshot,schema_only
sfkr_pvsn_crop,user_id,,varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_crop,cropping_serl_no,작기 일련번호,varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_crop,cropping_season_name,작기명,varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_crop,item_code,품목코드,varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_crop,cropping_date,작기 시작 일자,varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_crop,cropping_end_date,작기 종료 일자,varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_crop,cropping_system,"재배방식 코드(1:토경, 2:수경)",varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_crop,cultivation_area,재배 면적(평),varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_crop,cal_cultivation_area,재배 면적(㎡),varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_crop,plant_num,재식수량,varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_crop,cal_plant_num,1㎡당 재식수량,varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_crop,stem_slab_num,배지 1개당 작물의 줄기 수,varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_crop,plan_slab_num,배지 1개당 작물의 수,varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_crop,plant_density,재식밀도,varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_crop,standard_plant_density,기준 재식밀도,varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_crop,floodlight_dec,투광율,varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_crop,leaf_area,엽면적기준,varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_crop,stnd_temp,기준온도,varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_crop,stnd_weight,기준과중,varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_crop,stnd_solar,기준광,varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_crop,stnd_meta,기초대사,varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_grow,sn,,int(11),local_schema_snapshot,schema_only
sfkr_pvsn_grow,user_id,사용자ID,varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_grow,item_code,품목코드,varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_grow,sample_num,표본번호,varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_grow,meas_date,측정 일자,datetime,local_schema_snapshot,schema_only
sfkr_pvsn_grow,leaves_length,엽장,varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_grow,leaves_num,엽수,varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_grow,leaves_width,엽폭,varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_grow,petiole_length,엽병장,varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_grow,stem_diameter,줄기 직경,varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_grow,theca_diameter,관부 직경,varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_grow,flower_length,초장,varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_grow,grow_length,생장 길이,varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_grow,flower_top,화방 높이,varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_grow,fruit_cluster_num,화방수,varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_grow,first_flower_num,1화방 꽃수,varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_grow,second_flower_num,2화방 꽃수,varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_grow,third_flower_num,3화방 꽃수,varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_grow,first_fruits_num,1화방 착과수,varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_grow,second_fruits_num,2화방 착과수,varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_grow,third_fruits_num,3화방 착과수,varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_grow,flower_position,개화군,varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_grow,fruits_position,착화군,varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_grow,fruits_num,열매수,varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_grow,harvest_position,수확군,varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_grow,ped,PED,varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_grow,solar_correction,수광량,varchar(100),local_schema_snapshot,schema_only
sfkr_pvsn_grow,fruits_weight,평균과중,varchar(100),local_schema_snapshot,schema_only
sfkr_hbfm_env_con,CR__CC01_1_B_C,후측일중천창 작동상태,binary,local_sensor_code_dictionary,code_only
sfkr_hbfm_env_con,CR__CC01_1_F_C,전측일중천창 작동상태,binary,local_sensor_code_dictionary,code_only
sfkr_hbfm_env_con,CR__CC01_1_L_C,좌측일중천창 작동상태,binary,local_sensor_code_dictionary,code_only
sfkr_hbfm_env_con,CR__CC01_1_R_C,우측일중천창 작동상태,binary,local_sensor_code_dictionary,code_only
