timestamp,split,tomato_flower_truss1,tomato_flower_truss2,tomato_flower_truss3,tomato_flower_total,strawberry_fruit_truss1,strawberry_fruit_truss2,strawberry_fruit_truss3,strawberry_fruit_total
2024-09-30,train,0,0,0,32,,,,
2024-10-01,train,0,2,21,32,,,,
2024-10-01,test,,,,,0,0,0,0
2024-10-03,validation,0,0,0,26,,,,
2024-10-07,train,0,13,16,67,0,0,0,0
2024-10-08,train,0,3,12,41,0,0,0,0
2024-10-08,validation,,,,,0,0,0,0
2024-10-08,test,,,,,0,0,0,0
2024-10-10,train,,,,,0,0,0,0
2024-10-11,validation,0,0,0,12,,,,
2024-10-14,train,9,5,10,59,0,0,0,0
2024-10-14,validation,,,,,0,0,0,0
2024-10-15,train,2,0,2,39,0,0,0,0
2024-10-15,validation,,,,,0,0,0,0
2024-10-15,test,,,,,0,0,0,0
2024-10-16,test,,,,,1,0,0,1
2024-10-17,validation,0,0,0,14,,,,
2024-10-21,train,0,5,5,57,1,0,0,1
2024-10-21,validation,,,,,0,0,0,0
2024-10-22,train,11,21,0,49,0,0,0,0
2024-10-22,validation,,,,,0,0,0,0
2024-10-22,test,,,,,2,0,0,2
2024-10-23,train,0,0,0,15,,,,
2024-10-25,validation,0,0,0,30,,,,
2024-10-28,train,0,8,14,65,5,1,0,6
2024-10-28,validation,,,,,0,0,0,0
2024-10-28,test,,,,,6,0,0,6
2024-10-29,train,0,0,0,31,14,0,0,14
2024-10-29,validation,,,,,8,1,0,9
2024-10-29,test,,,,,0,0,0,0
2024-10-30,train,0,0,8,25,,,,
2024-10-30,test,0,0,8,25,,,,
2024-10-31,validation,0,0,0,24,,,,
2024-11-04,train,0,0,0,32,0,0,0,0
2024-11-04,validation,,,,,0,0,0,0
2024-11-05,train,0,0,0,16,67,0,0,67
2024-11-05,validation,,,,,30,3,0,33
2024-11-05,test,,,,,0,0,0,0
2024-11-06,train,0,0,0,20,,,,
2024-11-06,test,,,,,13,1,0,14
2024-11-07,train,0,0,0,36,32,5,0,37
2024-11-07,test,0,0,0,31,,,,
2024-11-08,validation,0,0,0,11,,,,
2024-11-11,train,0,0,0,82,59,3,0,62
2024-11-11,validation,,,,,0,0,0,0
2024-11-12,train,0,0,0,49,71,0,0,71
2024-11-12,validation,,,,,50,3,0,53
2024-11-12,test,0,0,0,22,19,4,0,23
2024-11-13,train,0,0,0,25,,,,
2024-11-14,train,,,,,67,10,0,77
2024-11-14,validation,0,0,0,3,,,,
2024-11-18,train,0,0,0,32,0,0,0,0
2024-11-18,validation,,,,,40,0,0,40
2024-11-19,train,0,0,0,45,220,5,0,225
2024-11-19,validation,,,,,58,3,0,61
2024-11-19,test,,,,,20,5,0,25
2024-11-20,train,0,0,0,43,,,,
2024-11-20,test,0,0,0,23,,,,
2024-11-21,train,,,,,37,7,0,44
2024-11-21,validation,0,0,0,50,,,,
2024-11-22,train,,,,,62,5,0,67
2024-11-22,validation,0,0,0,0,,,,
2024-11-25,train,0,0,0,51,0,0,0,0
2024-11-25,validation,,,,,0,0,0,0
2024-11-26,train,0,0,0,62,279,0,0,279
2024-11-26,validation,,,,,67,4,0,71
2024-11-26,test,0,0,0,13,0,0,0,0
2024-11-27,train,0,0,0,2,,,,
2024-11-27,test,,,,,27,8,0,35
2024-11-28,validation,0,0,0,18,,,,
2024-11-29,train,,,,,131,16,0,147
2024-11-29,validation,0,0,0,0,,,,
2024-12-02,train,0,0,0,10,137,0,0,137
2024-12-02,validation,,,,,0,0,0,0
2024-12-03,train,0,0,0,46,88,0,0,88
2024-12-03,validation,,,,,90,13,2,105
2024-12-03,test,,,,,0,0,0,0
2024-12-04,train,0,0,0,13,,,,
2024-12-04,test,0,0,0,11,,,,
2024-12-05,train,0,0,0,18,117,7,0,124
2024-12-05,validation,0,0,0,20,,,,
2024-12-05,test,,,,,34,5,3,42
2024-12-06,validation,0,0,0,2,,,,
2024-12-09,train,0,0,0,6,137,3,2,142
2024-12-09,validation,,,,,64,0,0,64
2024-12-10,train,0,0,0,16,76,2,0,78
2024-12-10,validation,,,,,33,23,6,62
2024-12-10,test,0,0,0,7,34,0,4,38
2024-12-12,train,0,0,0,0,110,12,0,122
2024-12-13,validation,0,0,0,7,,,,
2024-12-16,train,0,0,0,0,115,14,1,130
2024-12-16,validation,,,,,0,0,0,0
2024-12-17,train,0,0,0,22,0,0,0,0
2024-12-17,validation,,,,,52,39,10,101
2024-12-17,test,,,,,0,0,0,0
2024-12-18,train,0,0,0,11,56,19,0,75
2024-12-18,test,0,0,0,11,59,3,4,66
2024-12-19,train,0,0,0,13,150,17,0,167
2024-12-19,validation,0,0,0,19,,,,
2024-12-23,train,0,0,0,23,144,39,3,186
2024-12-23,validation,,,,,49,38,7,94
2024-12-24,train,0,0,0,24,94,32,12,138
2024-12-24,test,0,0,0,16,49,4,3,56
2024-12-26,train,0,0,0,11,93,11,0,104
2024-12-27,validation,0,0,0,15,,,,
2024-12-30,train,0,0,0,44,240,0,0,240
2024-12-30,validation,,,,,33,0,0,33
2024-12-31,train,0,0,0,25,46,0,0,46
2024-12-31,validation,,,,,45,33,14,92
2024-12-31,test,0,0,0,12,0,0,0,0
2025-01-01,train,,,,,78,58,14,150
2025-01-01,test,,,,,62,21,1,84
2025-01-02,train,0,0,0,27,,,,
2025-01-03,train,,,,,148,29,1,178
2025-01-03,validation,0,0,0,15,,,,
2025-01-06,train,0,0,0,52,198,0,0,198
2025-01-06,validation,,,,,25,0,0,25
2025-01-07,train,0,0,0,22,86,80,22,188
2025-01-07,validation,,,,,40,18,23,81
2025-01-07,test,0,0,0,18,180,20,9,209
2025-01-08,train,0,0,0,8,,,,
2025-01-08,validation,0,0,0,18,,,,
2025-01-09,validation,0,0,0,0,,,,
2025-01-10,train,,,,,141,40,9,190
2025-01-13,train,0,0,0,43,148,0,0,148
2025-01-13,validation,,,,,24,3,0,27
2025-01-14,train,0,0,0,44,42,36,33,111
2025-01-14,validation,,,,,25,17,25,67
2025-01-14,test,0,0,0,20,91,29,2,122
2025-01-15,train,0,0,0,8,32,41,5,78
2025-01-15,validation,0,0,0,25,,,,
2025-01-15,test,,,,,58,18,11,87
2025-01-16,validation,0,0,3,3,,,,
2025-01-19,train,,,,,113,60,27,200
2025-01-20,train,0,0,0,25,87,74,0,161
2025-01-20,validation,,,,,13,7,0,20
2025-01-21,train,0,0,0,18,0,24,0,24
2025-01-21,test,0,0,0,17,,,,
2025-01-22,train,0,0,0,32,16,53,61,130
2025-01-22,validation,0,0,0,26,,,,
2025-01-22,test,,,,,59,56,25,140
2025-01-23,train,0,0,0,22,,,,
2025-01-23,validation,0,2,6,8,,,,
2025-01-25,train,0,0,0,19,,,,
2025-01-26,train,0,0,0,28,113,58,38,209
2025-01-26,test,0,0,0,18,,,,
2025-01-27,train,,,,,41,43,12,96
2025-01-27,validation,,,,,10,12,20,42
2025-01-27,test,,,,,68,89,42,199
2025-01-31,train,0,0,0,13,,,,
2025-02-01,validation,0,0,0,29,,,,
2025-02-03,train,0,0,0,26,25,125,0,150
2025-02-03,validation,,,,,12,17,0,29
2025-02-04,train,0,0,0,48,12,71,67,150
2025-02-04,test,,,,,9,66,45,120
2025-02-05,train,0,0,0,16,,,,
2025-02-05,test,0,0,0,18,,,,
2025-02-06,train,0,0,0,10,37,36,33,106
2025-02-06,validation,,,,,8,14,24,46
2025-02-06,test,,,,,26,35,29,90
2025-02-07,validation,0,2,6,9,,,,
2025-02-09,train,,,,,73,41,42,156
2025-02-10,train,0,0,0,41,4,153,0,157
2025-02-10,validation,,,,,5,25,0,30
2025-02-11,train,0,0,0,30,38,63,90,191
2025-02-11,validation,,,,,9,10,23,42
2025-02-11,test,0,0,0,16,24,124,118,266
2025-02-12,train,0,0,0,14,0,43,0,43
2025-02-13,validation,0,2,11,17,,,,
2025-02-14,train,,,,,70,52,63,185
2025-02-17,train,0,0,0,31,0,149,0,149
2025-02-17,validation,,,,,0,34,0,34
2025-02-18,train,0,0,0,20,,,,
2025-02-18,test,0,0,0,16,4,60,75,139
2025-02-19,train,0,0,0,12,16,55,85,156
2025-02-20,train,,,,,13,22,30,65
2025-02-20,validation,0,2,6,22,3,20,10,33
2025-02-20,test,,,,,0,27,26,53
2025-02-22,train,,,,,36,43,54,133
2025-02-24,train,0,0,0,42,0,145,34,179
2025-02-24,validation,,,,,0,37,2,39
2025-02-25,train,0,0,0,15,34,68,79,181
2025-02-25,test,,,,,3,56,83,142
2025-02-26,train,0,0,0,11,,,,
2025-02-26,test,0,0,0,14,,,,
2025-02-27,train,0,0,0,14,,,,
2025-02-28,train,,,,,7,23,77,107
2025-02-28,validation,0,1,3,20,0,15,14,29
2025-02-28,test,,,,,0,17,17,34
2025-03-03,train,0,0,0,22,0,125,92,217
2025-03-03,validation,,,,,0,35,16,51
2025-03-04,train,0,0,0,33,0,16,27,43
2025-03-04,test,0,0,0,15,,,,
2025-03-05,train,0,0,0,25,25,28,63,116
2025-03-05,test,,,,,3,18,52,73
2025-03-06,train,,,,,0,4,31,35
2025-03-06,validation,,,,,0,6,26,32
2025-03-06,test,,,,,0,8,22,30
2025-03-08,train,,,,,30,0,41,71
2025-03-10,train,0,0,0,19,0,62,187,249
2025-03-10,validation,,,,,0,27,10,37
2025-03-11,train,0,0,0,33,0,0,22,22
