timestamp,split,facility_id,crop_sn,sample_num,cropping_serl_no,crop_start_date,crop_end_date,matched_crop_sn,strawberry_fruit_truss1,strawberry_fruit_truss2,strawberry_fruit_truss3,strawberry_fruit_total
2024-10-01,test,PF_0023621_01,PF_0023621|7565|2024-09-15,1,7565,2024-09-15,2025-05-03,122,0,0,0,0
2024-10-01,test,PF_0023621_01,PF_0023621|7565|2024-09-15,2,7565,2024-09-15,2025-05-03,122,0,0,0,0
2024-10-01,test,PF_0023621_01,PF_0023621|7565|2024-09-15,3,7565,2024-09-15,2025-05-03,122,0,0,0,0
2024-10-01,test,PF_0023621_01,PF_0023621|7565|2024-09-15,4,7565,2024-09-15,2025-05-03,122,0,0,0,0
2024-10-01,test,PF_0023621_01,PF_0023621|7565|2024-09-15,5,7565,2024-09-15,2025-05-03,122,0,0,0,0
2024-10-01,test,PF_0023621_01,PF_0023621|7565|2024-09-15,6,7565,2024-09-15,2025-05-03,122,0,0,0,0
2024-10-01,test,PF_0023621_01,PF_0023621|7565|2024-09-15,7,7565,2024-09-15,2025-05-03,122,0,0,0,0
2024-10-01,test,PF_0023621_01,PF_0023621|7565|2024-09-15,8,7565,2024-09-15,2025-05-03,122,0,0,0,0
2024-10-01,test,PF_0023621_01,PF_0023621|7565|2024-09-15,9,7565,2024-09-15,2025-05-03,122,0,0,0,0
2024-10-07,train,PF_0000574_01,PF_0000574|7579|2024-09-01,1,7579,2024-09-01,2025-06-30,13,0,0,0,0
2024-10-07,train,PF_0000574_01,PF_0000574|7579|2024-09-01,2,7579,2024-09-01,2025-06-30,13,0,0,0,0
2024-10-07,train,PF_0000574_01,PF_0000574|7579|2024-09-01,3,7579,2024-09-01,2025-06-30,13,0,0,0,0
2024-10-07,train,PF_0000574_01,PF_0000574|7579|2024-09-01,4,7579,2024-09-01,2025-06-30,13,0,0,0,0
2024-10-07,train,PF_0000574_01,PF_0000574|7579|2024-09-01,5,7579,2024-09-01,2025-06-30,13,0,0,0,0
2024-10-07,train,PF_0000574_01,PF_0000574|7579|2024-09-01,6,7579,2024-09-01,2025-06-30,13,0,0,0,0
2024-10-07,train,PF_0000574_01,PF_0000574|7579|2024-09-01,7,7579,2024-09-01,2025-06-30,13,0,0,0,0
2024-10-07,train,PF_0000574_01,PF_0000574|7579|2024-09-01,8,7579,2024-09-01,2025-06-30,13,0,0,0,0
2024-10-07,train,PF_0000574_01,PF_0000574|7579|2024-09-01,9,7579,2024-09-01,2025-06-30,13,0,0,0,0
2024-10-07,train,PF_0021351_01,PF_0021351|7540|2024-09-07,1,7540,2024-09-07,2025-05-25,104,0,0,0,0
2024-10-07,train,PF_0021351_01,PF_0021351|7540|2024-09-07,2,7540,2024-09-07,2025-05-25,104,0,0,0,0
2024-10-07,train,PF_0021351_01,PF_0021351|7540|2024-09-07,3,7540,2024-09-07,2025-05-25,104,0,0,0,0
2024-10-07,train,PF_0021351_01,PF_0021351|7540|2024-09-07,4,7540,2024-09-07,2025-05-25,104,0,0,0,0
2024-10-07,train,PF_0021351_01,PF_0021351|7540|2024-09-07,5,7540,2024-09-07,2025-05-25,104,0,0,0,0
2024-10-07,train,PF_0021351_01,PF_0021351|7540|2024-09-07,6,7540,2024-09-07,2025-05-25,104,0,0,0,0
2024-10-07,train,PF_0021351_01,PF_0021351|7540|2024-09-07,7,7540,2024-09-07,2025-05-25,104,0,0,0,0
2024-10-07,train,PF_0021351_01,PF_0021351|7540|2024-09-07,8,7540,2024-09-07,2025-05-25,104,0,0,0,0
