Target_ID,Result_Origin,Stage,Model_Type,Status,Completed_Run_Count
strawberry_first,legacy,test,persistence,success,1
strawberry_first,legacy,test,tft,success,1
strawberry_first,legacy,validation,catboost,success,1
strawberry_first,legacy,validation,mlp,success,1
strawberry_first,legacy,validation,persistence,success,1
strawberry_first,legacy,validation,poisson,success,1
strawberry_first,legacy,validation,random_forest,success,1
strawberry_first,legacy,validation,tabm,success,1
strawberry_first,legacy,validation,tft,success,1
strawberry_first,new,internal_cv,catboost,success,96
strawberry_first,new,internal_cv,mlp,success,192
strawberry_first,new,internal_cv,poisson,success,36
strawberry_first,new,internal_cv,random_forest,success,144
strawberry_first,new,internal_cv,tabm,success,192
strawberry_first,new,internal_cv,tft,success,24
strawberry_first,new,screening,catboost,success,6
strawberry_first,new,screening,poisson,success,6
strawberry_first,new,screening,random_forest,success,6
strawberry_first,new,test,catboost,success,5
strawberry_first,new,test,mlp,success,5
strawberry_first,new,test,persistence,success,1
strawberry_first,new,test,poisson,success,5
strawberry_first,new,test,random_forest,success,5
strawberry_first,new,test,tabm,success,5
strawberry_first,new,test,tft,success,5
strawberry_first,new,validation,catboost,success,20
strawberry_first,new,validation,mlp,success,20
strawberry_first,new,validation,persistence,success,1
strawberry_first,new,validation,poisson,success,20
strawberry_first,new,validation,random_forest,success,20
strawberry_first,new,validation,tabm,success,20
strawberry_first,new,validation,tft,success,20
strawberry_first,smoke_not_rankable,screening,poisson,success,1
strawberry_second,legacy,test,persistence,success,1
strawberry_second,legacy,test,poisson,success,1
strawberry_second,legacy,validation,catboost,success,1
strawberry_second,legacy,validation,mlp,success,1
strawberry_second,legacy,validation,persistence,success,1
strawberry_second,legacy,validation,poisson,success,1
strawberry_second,legacy,validation,random_forest,success,1
strawberry_second,legacy,validation,tabm,success,1
strawberry_second,legacy,validation,tft,success,1
strawberry_second,new,internal_cv,catboost,success,96
strawberry_second,new,internal_cv,mlp,success,192
strawberry_second,new,internal_cv,poisson,success,36
strawberry_second,new,internal_cv,random_forest,success,144
strawberry_second,new,internal_cv,tabm,success,192
strawberry_second,new,internal_cv,tft,success,24
strawberry_second,new,screening,catboost,success,6
strawberry_second,new,screening,poisson,success,6
strawberry_second,new,screening,random_forest,success,6
strawberry_second,new,test,catboost,success,5
strawberry_second,new,test,mlp,success,5
strawberry_second,new,test,persistence,success,1
