Variable_Group_ID,Category_ID,Variable_ID,Variable_Name,Source_Table,Source_Field_or_Code,Derivation,Window,Unit,Entity_Level,Reference_Time,Missing_Rule,Definition_Version,Availability_Status,Reason,AX_Category,Variable_Domain,Variable_Category,Version,Status,Source_Category_ID,Target_ID
VG_Flower_001,CAT_047,FlowerA_legacy::current_total_flower_count,current_total_flower_count,retained legacy artifacts,current_total_flower_count,,,,,,,1,legacy_definition_not_rebuilt,,Mixed,Legacy,FlowerA_legacy 原본 입력 목록,1,legacy_preserved,,
VG_Flower_001,CAT_047,FlowerA_legacy::previous_total_flower_count,previous_total_flower_count,retained legacy artifacts,previous_total_flower_count,,,,,,,1,legacy_definition_not_rebuilt,,Mixed,Legacy,FlowerA_legacy 原본 입력 목록,1,legacy_preserved,,
VG_Flower_001,CAT_047,FlowerA_legacy::total_flower_delta,total_flower_delta,retained legacy artifacts,total_flower_delta,,,,,,,1,legacy_definition_not_rebuilt,,Mixed,Legacy,FlowerA_legacy 原본 입력 목록,1,legacy_preserved,,
VG_Flower_001,CAT_047,FlowerA_legacy::current_max_truss_number,current_max_truss_number,retained legacy artifacts,current_max_truss_number,,,,,,,1,legacy_definition_not_rebuilt,,Mixed,Legacy,FlowerA_legacy 原본 입력 목록,1,legacy_preserved,,
VG_Flower_001,CAT_047,FlowerA_legacy::positive_truss_count,positive_truss_count,retained legacy artifacts,positive_truss_count,,,,,,,1,legacy_definition_not_rebuilt,,Mixed,Legacy,FlowerA_legacy 原본 입력 목록,1,legacy_preserved,,
VG_Flower_001,CAT_047,FlowerA_legacy::observed_truss_count,observed_truss_count,retained legacy artifacts,observed_truss_count,,,,,,,1,legacy_definition_not_rebuilt,,Mixed,Legacy,FlowerA_legacy 原본 입력 목록,1,legacy_preserved,,
VG_Flower_001,CAT_047,FlowerA_legacy::days_since_previous,days_since_previous,retained legacy artifacts,days_since_previous,,,,,,,1,legacy_definition_not_rebuilt,,Mixed,Legacy,FlowerA_legacy 原본 입력 목록,1,legacy_preserved,,
VG_Flower_001,CAT_047,FlowerA_legacy::days_since_crop_start,days_since_crop_start,retained legacy artifacts,days_since_crop_start,,,,,,,1,legacy_definition_not_rebuilt,,Mixed,Legacy,FlowerA_legacy 原본 입력 목록,1,legacy_preserved,,
VG_Flower_001,CAT_047,FlowerA_legacy::week_of_year_sin,week_of_year_sin,retained legacy artifacts,week_of_year_sin,,,,,,,1,legacy_definition_not_rebuilt,,Mixed,Legacy,FlowerA_legacy 原본 입력 목록,1,legacy_preserved,,
VG_Flower_001,CAT_047,FlowerA_legacy::week_of_year_cos,week_of_year_cos,retained legacy artifacts,week_of_year_cos,,,,,,,1,legacy_definition_not_rebuilt,,Mixed,Legacy,FlowerA_legacy 原본 입력 목록,1,legacy_preserved,,
VG_Flower_001,CAT_047,FlowerA_legacy::indoor_temperature_7d_mean,indoor_temperature_7d_mean,retained legacy artifacts,indoor_temperature_7d_mean,,,,,,,1,legacy_definition_not_rebuilt,,Mixed,Legacy,FlowerA_legacy 原본 입력 목록,1,legacy_preserved,,
VG_Flower_001,CAT_047,FlowerA_legacy::indoor_humidity_7d_mean,indoor_humidity_7d_mean,retained legacy artifacts,indoor_humidity_7d_mean,,,,,,,1,legacy_definition_not_rebuilt,,Mixed,Legacy,FlowerA_legacy 原본 입력 목록,1,legacy_preserved,,
VG_Flower_001,CAT_047,FlowerA_legacy::indoor_co2_7d_mean,indoor_co2_7d_mean,retained legacy artifacts,indoor_co2_7d_mean,,,,,,,1,legacy_definition_not_rebuilt,,Mixed,Legacy,FlowerA_legacy 原본 입력 목록,1,legacy_preserved,,
VG_Fruit_001,CAT_048,FruitA_legacy::current_fruit_count,current_fruit_count,retained legacy artifacts,current_fruit_count,,,,,,,1,legacy_definition_not_rebuilt,,Mixed,Legacy,FruitA_legacy 原본 입력 목록,1,legacy_preserved,,
VG_Fruit_001,CAT_048,FruitA_legacy::fruit_count_delta,fruit_count_delta,retained legacy artifacts,fruit_count_delta,,,,,,,1,legacy_definition_not_rebuilt,,Mixed,Legacy,FruitA_legacy 原본 입력 목록,1,legacy_preserved,,
VG_Fruit_001,CAT_048,FruitA_legacy::fruit_count_roll2_std,fruit_count_roll2_std,retained legacy artifacts,fruit_count_roll2_std,,,,,,,1,legacy_definition_not_rebuilt,,Mixed,Legacy,FruitA_legacy 原본 입력 목록,1,legacy_preserved,,
VG_Fruit_001,CAT_048,FruitA_legacy::fruit_count_roll2_min,fruit_count_roll2_min,retained legacy artifacts,fruit_count_roll2_min,,,,,,,1,legacy_definition_not_rebuilt,,Mixed,Legacy,FruitA_legacy 原본 입력 목록,1,legacy_preserved,,
VG_Fruit_001,CAT_048,FruitA_legacy::fruit_count_roll3_min,fruit_count_roll3_min,retained legacy artifacts,fruit_count_roll3_min,,,,,,,1,legacy_definition_not_rebuilt,,Mixed,Legacy,FruitA_legacy 原본 입력 목록,1,legacy_preserved,,
VG_Fruit_001,CAT_048,FruitA_legacy::fruit_count_roll4_std,fruit_count_roll4_std,retained legacy artifacts,fruit_count_roll4_std,,,,,,,1,legacy_definition_not_rebuilt,,Mixed,Legacy,FruitA_legacy 原본 입력 목록,1,legacy_preserved,,
VG_Fruit_001,CAT_048,FruitA_legacy::days_since_previous,days_since_previous,retained legacy artifacts,days_since_previous,,,,,,,1,legacy_definition_not_rebuilt,,Mixed,Legacy,FruitA_legacy 原본 입력 목록,1,legacy_preserved,,
VG_Fruit_001,CAT_048,FruitA_legacy::days_since_first_measurement,days_since_first_measurement,retained legacy artifacts,days_since_first_measurement,,,,,,,1,legacy_definition_not_rebuilt,,Mixed,Legacy,FruitA_legacy 原본 입력 목록,1,legacy_preserved,,
VG_Fruit_001,CAT_048,FruitA_legacy::days_since_first_positive,days_since_first_positive,retained legacy artifacts,days_since_first_positive,,,,,,,1,legacy_definition_not_rebuilt,,Mixed,Legacy,FruitA_legacy 原본 입력 목록,1,legacy_preserved,,
VG_Fruit_001,CAT_048,FruitA_legacy::history_count,history_count,retained legacy artifacts,history_count,,,,,,,1,legacy_definition_not_rebuilt,,Mixed,Legacy,FruitA_legacy 原본 입력 목록,1,legacy_preserved,,
VG_Fruit_001,CAT_048,FruitA_legacy::week_of_year_sin,week_of_year_sin,retained legacy artifacts,week_of_year_sin,,,,,,,1,legacy_definition_not_rebuilt,,Mixed,Legacy,FruitA_legacy 原본 입력 목록,1,legacy_preserved,,
VG_Fruit_001,CAT_048,FruitA_legacy::week_of_year_cos,week_of_year_cos,retained legacy artifacts,week_of_year_cos,,,,,,,1,legacy_definition_not_rebuilt,,Mixed,Legacy,FruitA_legacy 原본 입력 목록,1,legacy_preserved,,
VG_Fruit_001,CAT_048,FruitA_legacy::sensor_EI__TI_7d_mean,sensor_EI__TI_7d_mean,retained legacy artifacts,sensor_EI__TI_7d_mean,,,,,,,1,legacy_definition_not_rebuilt,,Mixed,Legacy,FruitA_legacy 原본 입력 목록,1,legacy_preserved,,
VG_Flower_005,CAT_021,flower_count__current,전체 꽃 수 current,sfkr_hbfm_grow,growth_measure_code + resolved value column,current valid observation,current,개,individual,feature_date,train median after pre-freeze screening; no row deletion,1,definition_ready,,State,작물 생육,꽃 관측정보,1,frozen,CAT_020,tomato_total_flower
VG_Flower_005,CAT_021,flower_count__delta,전체 꽃 수 delta,sfkr_hbfm_grow,growth_measure_code + resolved value column,current minus previous,1 survey,개,individual,feature_date,train median after pre-freeze screening; no row deletion,1,definition_ready,,State,작물 생육,꽃 관측정보,1,frozen,CAT_020,tomato_total_flower
VG_Flower_005,CAT_021,flower_count__delta_per_day,전체 꽃 수 delta_per_day,sfkr_hbfm_grow,growth_measure_code + resolved value column,delta / positive elapsed days,1 survey,개,individual,feature_date,train median after pre-freeze screening; no row deletion,1,definition_ready,,State,작물 생육,꽃 관측정보,1,frozen,CAT_020,tomato_total_flower
VG_Flower_005,CAT_021,flower_count__lag1,전체 꽃 수 lag1,sfkr_hbfm_grow,growth_measure_code + resolved value column,lag 1,1 surveys,개,individual,feature_date,train median after pre-freeze screening; no row deletion,1,definition_ready,,State,작물 생육,꽃 관측정보,1,frozen,CAT_020,tomato_total_flower
VG_Flower_005,CAT_021,flower_count__lag2,전체 꽃 수 lag2,sfkr_hbfm_grow,growth_measure_code + resolved value column,lag 2,2 surveys,개,individual,feature_date,train median after pre-freeze screening; no row deletion,1,definition_ready,,State,작물 생육,꽃 관측정보,1,frozen,CAT_020,tomato_total_flower
VG_Flower_005,CAT_021,flower_count__lag3,전체 꽃 수 lag3,sfkr_hbfm_grow,growth_measure_code + resolved value column,lag 3,3 surveys,개,individual,feature_date,train median after pre-freeze screening; no row deletion,1,definition_ready,,State,작물 생육,꽃 관측정보,1,frozen,CAT_020,tomato_total_flower
VG_Flower_005,CAT_021,flower_count__roll2_std,전체 꽃 수 roll2_std,sfkr_hbfm_grow,growth_measure_code + resolved value column,std; ddof=0,2 valid surveys including current; min_periods=2,개,individual,feature_date,train median after pre-freeze screening; no row deletion,1,definition_ready,,State,작물 생육,꽃 관측정보,1,frozen,CAT_020,tomato_total_flower
VG_Flower_005,CAT_021,flower_count__roll2_min,전체 꽃 수 roll2_min,sfkr_hbfm_grow,growth_measure_code + resolved value column,min,2 valid surveys including current; min_periods=2,개,individual,feature_date,train median after pre-freeze screening; no row deletion,1,definition_ready,,State,작물 생육,꽃 관측정보,1,frozen,CAT_020,tomato_total_flower
VG_Flower_005,CAT_021,flower_count__roll3_mean,전체 꽃 수 roll3_mean,sfkr_hbfm_grow,growth_measure_code + resolved value column,mean,3 valid surveys including current; min_periods=3,개,individual,feature_date,train median after pre-freeze screening; no row deletion,1,definition_ready,,State,작물 생육,꽃 관측정보,1,frozen,CAT_020,tomato_total_flower
VG_Flower_005,CAT_021,flower_count__roll3_std,전체 꽃 수 roll3_std,sfkr_hbfm_grow,growth_measure_code + resolved value column,std; ddof=0,3 valid surveys including current; min_periods=3,개,individual,feature_date,train median after pre-freeze screening; no row deletion,1,definition_ready,,State,작물 생육,꽃 관측정보,1,frozen,CAT_020,tomato_total_flower
