Variable_ID,Variable_Name,Source_Table,Source_Field_or_Code,Category_ID,Derivation,Window,Unit,Entity_Level,Reference_Time,Missing_Rule,Definition_Version,Availability_Status,Reason
item_code,품목코드,sfkr_pvsn_crop,item_code,CAT_034,current as-of feature date,current,source definition,crop_cycle,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,as-of validity and units require verification
cropping_system,"재배방식 코드(1:토경, 2:수경)",sfkr_pvsn_crop,cropping_system,CAT_034,current as-of feature date,current,source definition,crop_cycle,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,as-of validity and units require verification
cultivation_area,재배 면적(평),sfkr_pvsn_crop,cultivation_area,CAT_019,current as-of feature date,current,source definition,crop_cycle,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,as-of validity and units require verification
cal_cultivation_area,재배 면적(㎡),sfkr_pvsn_crop,cal_cultivation_area,CAT_019,current as-of feature date,current,source definition,crop_cycle,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,as-of validity and units require verification
plant_num,재식수량,sfkr_pvsn_crop,plant_num,CAT_019,current as-of feature date,current,source definition,crop_cycle,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,as-of validity and units require verification
cal_plant_num,1㎡당 재식수량,sfkr_pvsn_crop,cal_plant_num,CAT_019,current as-of feature date,current,source definition,crop_cycle,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,as-of validity and units require verification
plant_density,재식밀도,sfkr_pvsn_crop,plant_density,CAT_019,current as-of feature date,current,source definition,crop_cycle,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,as-of validity and units require verification
leaves_length__current,엽장 current,sfkr_pvsn_grow,leaves_length,CAT_027,current valid observation,current,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
leaves_length__delta,엽장 delta,sfkr_pvsn_grow,leaves_length,CAT_027,current minus previous,1 survey,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
leaves_length__delta_per_day,엽장 delta_per_day,sfkr_pvsn_grow,leaves_length,CAT_027,delta / positive elapsed days,1 survey,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
leaves_length__lag1,엽장 lag1,sfkr_pvsn_grow,leaves_length,CAT_027,lag 1,1 surveys,source unit requires verification,individual,feature_date,train median after pre-freeze screening; no row deletion,1,needs_review,measurement unit/provenance must be verified
