Variable_Group_ID,Category_ID
VG_Flower_001,CAT_047
VG_Fruit_001,CAT_048
VG_Flower_005,CAT_021
VG_Flower_032,CAT_003
VG_Flower_032,CAT_006
VG_Flower_032,CAT_021
VG_Flower_032,CAT_033
VG_Flower_037,CAT_003
VG_Flower_037,CAT_021
VG_Flower_037,CAT_041
VG_Flower_027,CAT_003
VG_Flower_027,CAT_021
VG_Flower_027,CAT_033
VG_Flower_038,CAT_006
VG_Flower_038,CAT_021
VG_Flower_038,CAT_041
VG_Flower_020,CAT_003
VG_Flower_020,CAT_006
VG_Flower_020,CAT_021
VG_Flower_020,CAT_041
VG_Flower_002,CAT_003
VG_Flower_002,CAT_017
VG_Flower_002,CAT_021
VG_Flower_040,CAT_003
VG_Flower_040,CAT_006
VG_Flower_040,CAT_021
VG_Flower_040,CAT_041
VG_Flower_040,CAT_046
VG_Flower_039,CAT_021
VG_Flower_039,CAT_033
VG_Flower_039,CAT_046
VG_Flower_018,CAT_003
VG_Flower_018,CAT_006
VG_Flower_018,CAT_017
VG_Flower_018,CAT_021
VG_Flower_018,CAT_033
VG_Flower_018,CAT_041
VG_Flower_018,CAT_046
VG_Flower_036,CAT_003
VG_Flower_036,CAT_021
VG_Flower_036,CAT_046
VG_Flower_030,CAT_003
VG_Flower_030,CAT_006
VG_Flower_030,CAT_021
VG_Flower_034,CAT_003
VG_Flower_034,CAT_006
VG_Flower_034,CAT_017
VG_Flower_034,CAT_021
VG_Flower_034,CAT_041
VG_Flower_035,CAT_006
VG_Flower_035,CAT_021
VG_Flower_035,CAT_033
VG_Flower_035,CAT_041
VG_Flower_010,CAT_006
VG_Flower_010,CAT_021
VG_Flower_010,CAT_041
VG_Flower_010,CAT_046
VG_Flower_004,CAT_021
VG_Flower_004,CAT_046
VG_Flower_033,CAT_006
VG_Flower_033,CAT_017
VG_Flower_033,CAT_021
VG_Flower_031,CAT_006
VG_Flower_031,CAT_021
VG_Flower_031,CAT_046
VG_Flower_023,CAT_021
VG_Flower_023,CAT_033
VG_Flower_015,CAT_003
VG_Flower_015,CAT_021
VG_Flower_028,CAT_003
VG_Flower_028,CAT_006
VG_Flower_028,CAT_021
VG_Flower_028,CAT_033
VG_Flower_028,CAT_041
VG_Flower_026,CAT_003
VG_Flower_026,CAT_021
VG_Flower_026,CAT_041
VG_Flower_026,CAT_046
VG_Flower_022,CAT_017
VG_Flower_022,CAT_021
VG_Flower_017,CAT_017
VG_Flower_017,CAT_021
VG_Flower_017,CAT_033
VG_Flower_013,CAT_003
VG_Flower_013,CAT_021
VG_Flower_013,CAT_033
VG_Flower_013,CAT_046
VG_Flower_003,CAT_033
VG_Flower_008,CAT_003
VG_Flower_008,CAT_021
VG_Flower_008,CAT_033
VG_Flower_008,CAT_041
VG_Flower_014,CAT_006
VG_Flower_014,CAT_021
VG_Flower_007,CAT_006
VG_Flower_007,CAT_021
VG_Flower_007,CAT_033
VG_Flower_012,CAT_046
VG_Flower_009,CAT_003
VG_Flower_029,CAT_003
VG_Flower_029,CAT_017
VG_Flower_029,CAT_021
VG_Flower_029,CAT_033
VG_Flower_016,CAT_006
VG_Flower_016,CAT_017
VG_Flower_016,CAT_021
VG_Flower_016,CAT_041
VG_Flower_019,CAT_021
VG_Flower_019,CAT_041
VG_Flower_024,CAT_021
VG_Flower_024,CAT_033
VG_Flower_024,CAT_041
VG_Flower_011,CAT_006
VG_Flower_006,CAT_041
VG_Flower_021,CAT_017
VG_Flower_025,CAT_003
VG_Flower_025,CAT_017
VG_Flower_025,CAT_021
VG_Flower_025,CAT_041
VG_Fruit_013,CAT_026
VG_Fruit_015,CAT_026
VG_Fruit_015,CAT_040
VG_Fruit_008,CAT_026
VG_Fruit_008,CAT_032
VG_Fruit_008,CAT_040
VG_Fruit_019,CAT_026
VG_Fruit_019,CAT_032
VG_Fruit_017,CAT_032
VG_Fruit_003,CAT_040
VG_Fruit_009,CAT_025
VG_Fruit_002,CAT_025
VG_Fruit_002,CAT_031
VG_Fruit_016,CAT_025
VG_Fruit_016,CAT_039
VG_Fruit_018,CAT_025
VG_Fruit_018,CAT_031
VG_Fruit_018,CAT_039
VG_Fruit_011,CAT_039
VG_Fruit_006,CAT_031
VG_Fruit_010,CAT_024
VG_Fruit_007,CAT_024
VG_Fruit_007,CAT_038
VG_Fruit_012,CAT_024
VG_Fruit_012,CAT_030
VG_Fruit_012,CAT_038
VG_Fruit_014,CAT_024
VG_Fruit_014,CAT_030
VG_Fruit_004,CAT_030
VG_Fruit_005,CAT_038
