timestamp,split,tomato_flower_truss1_n_observed,tomato_flower_truss2_n_observed,tomato_flower_truss3_n_observed,tomato_flower_total_n_observed,strawberry_fruit_truss1_n_observed,strawberry_fruit_truss2_n_observed,strawberry_fruit_truss3_n_observed,strawberry_fruit_total_n_observed
2024-09-30,train,9.0,9.0,9.0,9.0,,,,
2024-10-01,test,,,,,9.0,9.0,9.0,9.0
2024-10-01,train,9.0,9.0,9.0,9.0,,,,
2024-10-03,validation,9.0,9.0,9.0,9.0,,,,
2024-10-07,train,18.0,18.0,18.0,18.0,27.0,27.0,27.0,27.0
2024-10-08,test,,,,,18.0,18.0,18.0,18.0
2024-10-08,train,18.0,18.0,18.0,18.0,27.0,27.0,27.0,27.0
2024-10-08,validation,,,,,18.0,18.0,18.0,18.0
2024-10-10,train,,,,,9.0,9.0,9.0,9.0
2024-10-11,validation,9.0,9.0,9.0,9.0,,,,
2024-10-14,train,18.0,18.0,18.0,18.0,72.0,72.0,72.0,72.0
2024-10-14,validation,,,,,9.0,9.0,9.0,9.0
2024-10-15,test,,,,,18.0,18.0,18.0,18.0
2024-10-15,train,18.0,18.0,18.0,18.0,36.0,36.0,36.0,36.0
2024-10-15,validation,,,,,18.0,18.0,18.0,18.0
2024-10-16,test,,,,,9.0,9.0,9.0,9.0
2024-10-17,validation,9.0,9.0,9.0,9.0,,,,
2024-10-21,train,18.0,18.0,18.0,18.0,63.0,63.0,63.0,63.0
2024-10-21,validation,,,,,9.0,9.0,9.0,9.0
2024-10-22,test,,,,,27.0,27.0,27.0,27.0
2024-10-22,train,18.0,18.0,18.0,18.0,45.0,45.0,45.0,45.0
2024-10-22,validation,,,,,18.0,18.0,18.0,18.0
2024-10-23,train,9.0,9.0,9.0,9.0,,,,
2024-10-25,validation,9.0,9.0,9.0,9.0,,,,
2024-10-28,test,,,,,9.0,9.0,9.0,9.0
2024-10-28,train,27.0,27.0,27.0,27.0,54.0,54.0,54.0,54.0
2024-10-28,validation,,,,,9.0,9.0,9.0,9.0
2024-10-29,test,,,,,18.0,18.0,18.0,18.0
2024-10-29,train,18.0,18.0,18.0,18.0,54.0,54.0,54.0,54.0
2024-10-29,validation,,,,,18.0,18.0,18.0,18.0
2024-10-30,test,9.0,9.0,9.0,9.0,,,,
2024-10-30,train,9.0,9.0,9.0,9.0,,,,
2024-10-31,validation,9.0,9.0,9.0,9.0,,,,
2024-11-04,train,18.0,18.0,18.0,18.0,36.0,36.0,36.0,36.0
2024-11-04,validation,,,,,9.0,9.0,9.0,9.0
2024-11-05,test,,,,,18.0,18.0,18.0,18.0
2024-11-05,train,9.0,9.0,9.0,9.0,36.0,36.0,36.0,36.0
2024-11-05,validation,,,,,18.0,18.0,18.0,18.0
2024-11-06,test,,,,,9.0,9.0,9.0,9.0
2024-11-06,train,9.0,9.0,9.0,9.0,,,,
2024-11-07,test,9.0,9.0,9.0,9.0,,,,
2024-11-07,train,18.0,18.0,18.0,18.0,27.0,27.0,27.0,27.0
2024-11-08,validation,9.0,9.0,9.0,9.0,,,,
2024-11-11,train,27.0,27.0,27.0,27.0,63.0,63.0,63.0,63.0
2024-11-11,validation,,,,,9.0,9.0,9.0,9.0
2024-11-12,test,9.0,9.0,9.0,9.0,27.0,27.0,27.0,27.0
2024-11-12,train,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
2024-11-12,validation,,,,,18.0,18.0,18.0,18.0
2024-11-13,train,9.0,9.0,9.0,9.0,,,,
2024-11-14,train,,,,,26.0,26.0,26.0,26.0
2024-11-14,validation,9.0,9.0,9.0,9.0,,,,
2024-11-18,train,18.0,18.0,18.0,18.0,45.0,45.0,45.0,45.0
2024-11-18,validation,,,,,9.0,9.0,9.0,9.0
2024-11-19,test,,,,,27.0,27.0,27.0,27.0
2024-11-19,train,18.0,18.0,18.0,18.0,36.0,36.0,36.0,36.0
2024-11-19,validation,,,,,18.0,18.0,18.0,18.0
2024-11-20,test,9.0,9.0,9.0,9.0,,,,
