timestamp,split,facility_id,crop_sn,sample_num,cropping_serl_no,crop_start_date,crop_end_date,matched_crop_sn,tomato_flower_truss1,tomato_flower_truss2,tomato_flower_truss3,tomato_flower_total
2024-09-30,train,PF_0025108_01,205,1,7519,2024-07-26,2025-06-16,207,0,0,0,2
2024-09-30,train,PF_0025108_01,205,2,7519,2024-07-26,2025-06-16,207,0,0,0,6
2024-09-30,train,PF_0025108_01,205,3,7519,2024-07-26,2025-06-16,207,0,0,0,6
2024-09-30,train,PF_0025108_01,205,4,7519,2024-07-26,2025-06-16,207,0,0,0,6
2024-09-30,train,PF_0025108_01,205,5,7519,2024-07-26,2025-06-16,207,0,0,0,2
2024-09-30,train,PF_0025108_01,205,6,7519,2024-07-26,2025-06-16,207,0,0,0,0
2024-09-30,train,PF_0025108_01,205,7,7519,2024-07-26,2025-06-16,207,0,0,0,1
2024-09-30,train,PF_0025108_01,205,8,7519,2024-07-26,2025-06-16,207,0,0,0,6
2024-09-30,train,PF_0025108_01,205,9,7519,2024-07-26,2025-06-16,207,0,0,0,3
2024-10-01,train,PF_0025101_01,194,1,7525,2024-08-25,2025-07-31,196,0,0,1,3
2024-10-01,train,PF_0025101_01,194,2,7525,2024-08-25,2025-07-31,196,0,0,2,3
2024-10-01,train,PF_0025101_01,194,3,7525,2024-08-25,2025-07-31,196,0,0,2,3
2024-10-01,train,PF_0025101_01,194,4,7525,2024-08-25,2025-07-31,196,0,0,3,4
2024-10-01,train,PF_0025101_01,194,5,7525,2024-08-25,2025-07-31,196,0,0,2,4
2024-10-01,train,PF_0025101_01,194,6,7525,2024-08-25,2025-07-31,196,0,0,4,5
2024-10-01,train,PF_0025101_01,194,7,7525,2024-08-25,2025-07-31,196,0,0,3,3
2024-10-01,train,PF_0025101_01,194,8,7525,2024-08-25,2025-07-31,196,0,0,2,3
2024-10-01,train,PF_0025101_01,194,9,7525,2024-08-25,2025-07-31,196,0,2,2,4
2024-10-03,validation,PF_0024689_01,163,1,7557,2024-07-01,2025-07-31,163,0,0,0,3
2024-10-03,validation,PF_0024689_01,163,2,7557,2024-07-01,2025-07-31,163,0,0,0,2
2024-10-03,validation,PF_0024689_01,163,3,7557,2024-07-01,2025-07-31,163,0,0,0,4
2024-10-03,validation,PF_0024689_01,163,4,7557,2024-07-01,2025-07-31,163,0,0,0,0
2024-10-03,validation,PF_0024689_01,163,5,7557,2024-07-01,2025-07-31,163,0,0,0,6
2024-10-03,validation,PF_0024689_01,163,6,7557,2024-07-01,2025-07-31,163,0,0,0,4
2024-10-03,validation,PF_0024689_01,163,7,7557,2024-07-01,2025-07-31,163,0,0,0,2
2024-10-03,validation,PF_0024689_01,163,8,7557,2024-07-01,2025-07-31,163,0,0,0,2
2024-10-03,validation,PF_0024689_01,163,9,7557,2024-07-01,2025-07-31,163,0,0,0,3
2024-10-07,train,PF_0002529_01,46,1,7575,2024-08-02,2025-05-03,46,0,1,2,3
2024-10-07,train,PF_0002529_01,46,2,7575,2024-08-02,2025-05-03,46,0,2,2,4
2024-10-07,train,PF_0002529_01,46,3,7575,2024-08-02,2025-05-03,46,0,2,3,5
2024-10-07,train,PF_0002529_01,46,4,7575,2024-08-02,2025-05-03,46,0,6,3,9
2024-10-07,train,PF_0002529_01,46,5,7575,2024-08-02,2025-05-03,46,0,0,1,1
2024-10-07,train,PF_0002529_01,46,6,7575,2024-08-02,2025-05-03,46,0,0,2,6
2024-10-07,train,PF_0002529_01,46,7,7575,2024-08-02,2025-05-03,46,0,0,0,0
2024-10-07,train,PF_0002529_01,46,8,7575,2024-08-02,2025-05-03,46,0,2,1,5
2024-10-07,train,PF_0002529_01,46,9,7575,2024-08-02,2025-05-03,46,0,0,2,2
2024-10-07,train,PF_0025108_01,205,1,7519,2024-07-26,2025-06-16,207,0,0,0,5
2024-10-07,train,PF_0025108_01,205,2,7519,2024-07-26,2025-06-16,207,0,0,0,3
2024-10-07,train,PF_0025108_01,205,3,7519,2024-07-26,2025-06-16,207,0,0,0,2
2024-10-07,train,PF_0025108_01,205,4,7519,2024-07-26,2025-06-16,207,0,0,0,5
2024-10-07,train,PF_0025108_01,205,5,7519,2024-07-26,2025-06-16,207,0,0,0,8
2024-10-07,train,PF_0025108_01,205,6,7519,2024-07-26,2025-06-16,207,0,0,0,1
2024-10-07,train,PF_0025108_01,205,7,7519,2024-07-26,2025-06-16,207,0,0,0,3
2024-10-07,train,PF_0025108_01,205,8,7519,2024-07-26,2025-06-16,207,0,0,0,3
2024-10-07,train,PF_0025108_01,205,9,7519,2024-07-26,2025-06-16,207,0,0,0,2
2024-10-08,train,PF_0020209_01,80,1,7534,2024-08-19,2025-07-15,80,0,0,0,3
2024-10-08,train,PF_0020209_01,80,2,7534,2024-08-19,2025-07-15,80,0,0,0,2
2024-10-08,train,PF_0020209_01,80,3,7534,2024-08-19,2025-07-15,80,0,0,0,1
2024-10-08,train,PF_0020209_01,80,4,7534,2024-08-19,2025-07-15,80,0,0,0,2
2024-10-08,train,PF_0020209_01,80,5,7534,2024-08-19,2025-07-15,80,0,0,3,3
2024-10-08,train,PF_0020209_01,80,6,7534,2024-08-19,2025-07-15,80,0,1,2,5
2024-10-08,train,PF_0020209_01,80,7,7534,2024-08-19,2025-07-15,80,0,0,0,1
2024-10-08,train,PF_0020209_01,80,8,7534,2024-08-19,2025-07-15,80,0,0,2,4
2024-10-08,train,PF_0020209_01,80,9,7534,2024-08-19,2025-07-15,80,0,1,1,4
2024-10-08,train,PF_0025101_01,194,1,7525,2024-08-25,2025-07-31,196,0,0,0,1
2024-10-08,train,PF_0025101_01,194,2,7525,2024-08-25,2025-07-31,196,0,0,0,1
2024-10-08,train,PF_0025101_01,194,3,7525,2024-08-25,2025-07-31,196,0,0,0,1
2024-10-08,train,PF_0025101_01,194,4,7525,2024-08-25,2025-07-31,196,0,0,0,2
2024-10-08,train,PF_0025101_01,194,5,7525,2024-08-25,2025-07-31,196,0,0,0,2
2024-10-08,train,PF_0025101_01,194,6,7525,2024-08-25,2025-07-31,196,0,0,0,2
2024-10-08,train,PF_0025101_01,194,7,7525,2024-08-25,2025-07-31,196,0,0,0,0
2024-10-08,train,PF_0025101_01,194,8,7525,2024-08-25,2025-07-31,196,0,0,0,1
2024-10-08,train,PF_0025101_01,194,9,7525,2024-08-25,2025-07-31,196,0,1,4,6
2024-10-11,validation,PF_0024689_01,163,1,7557,2024-07-01,2025-07-31,163,0,0,0,1
2024-10-11,validation,PF_0024689_01,163,2,7557,2024-07-01,2025-07-31,163,0,0,0,2
2024-10-11,validation,PF_0024689_01,163,3,7557,2024-07-01,2025-07-31,163,0,0,0,1
2024-10-11,validation,PF_0024689_01,163,4,7557,2024-07-01,2025-07-31,163,0,0,0,1
2024-10-11,validation,PF_0024689_01,163,5,7557,2024-07-01,2025-07-31,163,0,0,0,1
2024-10-11,validation,PF_0024689_01,163,6,7557,2024-07-01,2025-07-31,163,0,0,0,1
2024-10-11,validation,PF_0024689_01,163,7,7557,2024-07-01,2025-07-31,163,0,0,0,1
2024-10-11,validation,PF_0024689_01,163,8,7557,2024-07-01,2025-07-31,163,0,0,0,1
2024-10-11,validation,PF_0024689_01,163,9,7557,2024-07-01,2025-07-31,163,0,0,0,3
2024-10-14,train,PF_0002529_01,46,1,7575,2024-08-02,2025-05-03,46,1,2,0,7
2024-10-14,train,PF_0002529_01,46,2,7575,2024-08-02,2025-05-03,46,1,1,1,5
2024-10-14,train,PF_0002529_01,46,3,7575,2024-08-02,2025-05-03,46,1,2,3,9
2024-10-14,train,PF_0002529_01,46,4,7575,2024-08-02,2025-05-03,46,1,0,0,3
2024-10-14,train,PF_0002529_01,46,5,7575,2024-08-02,2025-05-03,46,1,0,2,4
2024-10-14,train,PF_0002529_01,46,6,7575,2024-08-02,2025-05-03,46,1,0,0,1
2024-10-14,train,PF_0002529_01,46,7,7575,2024-08-02,2025-05-03,46,1,0,2,5
2024-10-14,train,PF_0002529_01,46,8,7575,2024-08-02,2025-05-03,46,1,0,0,5
2024-10-14,train,PF_0002529_01,46,9,7575,2024-08-02,2025-05-03,46,1,0,2,4
2024-10-14,train,PF_0025108_01,205,1,7519,2024-07-26,2025-06-16,207,0,0,0,3
2024-10-14,train,PF_0025108_01,205,2,7519,2024-07-26,2025-06-16,207,0,0,0,2
2024-10-14,train,PF_0025108_01,205,3,7519,2024-07-26,2025-06-16,207,0,0,0,1
2024-10-14,train,PF_0025108_01,205,4,7519,2024-07-26,2025-06-16,207,0,0,0,1
2024-10-14,train,PF_0025108_01,205,5,7519,2024-07-26,2025-06-16,207,0,0,0,0
2024-10-14,train,PF_0025108_01,205,6,7519,2024-07-26,2025-06-16,207,0,0,0,2
2024-10-14,train,PF_0025108_01,205,7,7519,2024-07-26,2025-06-16,207,0,0,0,1
2024-10-14,train,PF_0025108_01,205,8,7519,2024-07-26,2025-06-16,207,0,0,0,2
2024-10-14,train,PF_0025108_01,205,9,7519,2024-07-26,2025-06-16,207,0,0,0,4
2024-10-15,train,PF_0020209_01,80,1,7534,2024-08-19,2025-07-15,80,0,0,0,4
2024-10-15,train,PF_0020209_01,80,2,7534,2024-08-19,2025-07-15,80,0,0,0,3
2024-10-15,train,PF_0020209_01,80,3,7534,2024-08-19,2025-07-15,80,0,0,0,2
2024-10-15,train,PF_0020209_01,80,4,7534,2024-08-19,2025-07-15,80,0,0,0,2
2024-10-15,train,PF_0020209_01,80,5,7534,2024-08-19,2025-07-15,80,0,0,0,2
2024-10-15,train,PF_0020209_01,80,6,7534,2024-08-19,2025-07-15,80,0,0,2,2
2024-10-15,train,PF_0020209_01,80,7,7534,2024-08-19,2025-07-15,80,0,0,0,2
2024-10-15,train,PF_0020209_01,80,8,7534,2024-08-19,2025-07-15,80,0,0,0,3
2024-10-15,train,PF_0020209_01,80,9,7534,2024-08-19,2025-07-15,80,2,0,0,4
2024-10-15,train,PF_0025101_01,194,1,7525,2024-08-25,2025-07-31,196,0,0,0,1
2024-10-15,train,PF_0025101_01,194,2,7525,2024-08-25,2025-07-31,196,0,0,0,1
2024-10-15,train,PF_0025101_01,194,3,7525,2024-08-25,2025-07-31,196,0,0,0,2
2024-10-15,train,PF_0025101_01,194,4,7525,2024-08-25,2025-07-31,196,0,0,0,2
2024-10-15,train,PF_0025101_01,194,5,7525,2024-08-25,2025-07-31,196,0,0,0,1
2024-10-15,train,PF_0025101_01,194,6,7525,2024-08-25,2025-07-31,196,0,0,0,3
2024-10-15,train,PF_0025101_01,194,7,7525,2024-08-25,2025-07-31,196,0,0,0,1
2024-10-15,train,PF_0025101_01,194,8,7525,2024-08-25,2025-07-31,196,0,0,0,2
2024-10-15,train,PF_0025101_01,194,9,7525,2024-08-25,2025-07-31,196,0,0,0,2
2024-10-17,validation,PF_0024689_01,163,1,7557,2024-07-01,2025-07-31,163,0,0,0,2
2024-10-17,validation,PF_0024689_01,163,2,7557,2024-07-01,2025-07-31,163,0,0,0,2
2024-10-17,validation,PF_0024689_01,163,3,7557,2024-07-01,2025-07-31,163,0,0,0,1
2024-10-17,validation,PF_0024689_01,163,4,7557,2024-07-01,2025-07-31,163,0,0,0,0
2024-10-17,validation,PF_0024689_01,163,5,7557,2024-07-01,2025-07-31,163,0,0,0,3
2024-10-17,validation,PF_0024689_01,163,6,7557,2024-07-01,2025-07-31,163,0,0,0,3
2024-10-17,validation,PF_0024689_01,163,7,7557,2024-07-01,2025-07-31,163,0,0,0,1
2024-10-17,validation,PF_0024689_01,163,8,7557,2024-07-01,2025-07-31,163,0,0,0,2
2024-10-17,validation,PF_0024689_01,163,9,7557,2024-07-01,2025-07-31,163,0,0,0,0
2024-10-21,train,PF_0002529_01,46,1,7575,2024-08-02,2025-05-03,46,0,2,0,5
2024-10-21,train,PF_0002529_01,46,2,7575,2024-08-02,2025-05-03,46,0,0,0,2
2024-10-21,train,PF_0002529_01,46,3,7575,2024-08-02,2025-05-03,46,0,1,0,6
2024-10-21,train,PF_0002529_01,46,4,7575,2024-08-02,2025-05-03,46,0,0,0,3
2024-10-21,train,PF_0002529_01,46,5,7575,2024-08-02,2025-05-03,46,0,0,1,5
2024-10-21,train,PF_0002529_01,46,6,7575,2024-08-02,2025-05-03,46,0,0,0,0
2024-10-21,train,PF_0002529_01,46,7,7575,2024-08-02,2025-05-03,46,0,0,0,4
2024-10-21,train,PF_0002529_01,46,8,7575,2024-08-02,2025-05-03,46,0,0,0,2
2024-10-21,train,PF_0002529_01,46,9,7575,2024-08-02,2025-05-03,46,0,2,2,9
2024-10-21,train,PF_0025108_01,205,1,7519,2024-07-26,2025-06-16,207,0,0,0,2
2024-10-21,train,PF_0025108_01,205,2,7519,2024-07-26,2025-06-16,207,0,0,0,1
2024-10-21,train,PF_0025108_01,205,3,7519,2024-07-26,2025-06-16,207,0,0,0,0
2024-10-21,train,PF_0025108_01,205,4,7519,2024-07-26,2025-06-16,207,0,0,0,3
2024-10-21,train,PF_0025108_01,205,5,7519,2024-07-26,2025-06-16,207,0,0,0,1
2024-10-21,train,PF_0025108_01,205,6,7519,2024-07-26,2025-06-16,207,0,0,2,7
2024-10-21,train,PF_0025108_01,205,7,7519,2024-07-26,2025-06-16,207,0,0,0,3
2024-10-21,train,PF_0025108_01,205,8,7519,2024-07-26,2025-06-16,207,0,0,0,1
2024-10-21,train,PF_0025108_01,205,9,7519,2024-07-26,2025-06-16,207,0,0,0,3
2024-10-22,train,PF_0024693_01,171,1,7553,2024-09-11,2025-06-01,171,2,9,0,11
2024-10-22,train,PF_0024693_01,171,2,7553,2024-09-11,2025-06-01,171,1,0,0,1
2024-10-22,train,PF_0024693_01,171,3,7553,2024-09-11,2025-06-01,171,2,2,0,4
2024-10-22,train,PF_0024693_01,171,4,7553,2024-09-11,2025-06-01,171,1,2,0,3
2024-10-22,train,PF_0024693_01,171,5,7553,2024-09-11,2025-06-01,171,0,1,0,1
2024-10-22,train,PF_0024693_01,171,6,7553,2024-09-11,2025-06-01,171,2,2,0,4
2024-10-22,train,PF_0024693_01,171,7,7553,2024-09-11,2025-06-01,171,0,2,0,2
2024-10-22,train,PF_0024693_01,171,8,7553,2024-09-11,2025-06-01,171,2,2,0,4
2024-10-22,train,PF_0024693_01,171,9,7553,2024-09-11,2025-06-01,171,1,1,0,2
2024-10-22,train,PF_0025101_01,194,1,7525,2024-08-25,2025-07-31,196,0,0,0,6
2024-10-22,train,PF_0025101_01,194,2,7525,2024-08-25,2025-07-31,196,0,0,0,1
2024-10-22,train,PF_0025101_01,194,3,7525,2024-08-25,2025-07-31,196,0,0,0,2
2024-10-22,train,PF_0025101_01,194,4,7525,2024-08-25,2025-07-31,196,0,0,0,0
2024-10-22,train,PF_0025101_01,194,5,7525,2024-08-25,2025-07-31,196,0,0,0,0
2024-10-22,train,PF_0025101_01,194,6,7525,2024-08-25,2025-07-31,196,0,0,0,3
2024-10-22,train,PF_0025101_01,194,7,7525,2024-08-25,2025-07-31,196,0,0,0,2
2024-10-22,train,PF_0025101_01,194,8,7525,2024-08-25,2025-07-31,196,0,0,0,1
2024-10-22,train,PF_0025101_01,194,9,7525,2024-08-25,2025-07-31,196,0,0,0,2
2024-10-23,train,PF_0020209_01,80,1,7534,2024-08-19,2025-07-15,80,0,0,0,2
2024-10-23,train,PF_0020209_01,80,2,7534,2024-08-19,2025-07-15,80,0,0,0,2
2024-10-23,train,PF_0020209_01,80,3,7534,2024-08-19,2025-07-15,80,0,0,0,1
2024-10-23,train,PF_0020209_01,80,4,7534,2024-08-19,2025-07-15,80,0,0,0,3
2024-10-23,train,PF_0020209_01,80,5,7534,2024-08-19,2025-07-15,80,0,0,0,0
2024-10-23,train,PF_0020209_01,80,6,7534,2024-08-19,2025-07-15,80,0,0,0,1
2024-10-23,train,PF_0020209_01,80,7,7534,2024-08-19,2025-07-15,80,0,0,0,2
2024-10-23,train,PF_0020209_01,80,8,7534,2024-08-19,2025-07-15,80,0,0,0,2
2024-10-23,train,PF_0020209_01,80,9,7534,2024-08-19,2025-07-15,80,0,0,0,2
2024-10-25,validation,PF_0024689_01,163,1,7557,2024-07-01,2025-07-31,163,0,0,0,6
2024-10-25,validation,PF_0024689_01,163,2,7557,2024-07-01,2025-07-31,163,0,0,0,4
2024-10-25,validation,PF_0024689_01,163,3,7557,2024-07-01,2025-07-31,163,0,0,0,4
2024-10-25,validation,PF_0024689_01,163,4,7557,2024-07-01,2025-07-31,163,0,0,0,3
2024-10-25,validation,PF_0024689_01,163,5,7557,2024-07-01,2025-07-31,163,0,0,0,1
2024-10-25,validation,PF_0024689_01,163,6,7557,2024-07-01,2025-07-31,163,0,0,0,4
2024-10-25,validation,PF_0024689_01,163,7,7557,2024-07-01,2025-07-31,163,0,0,0,2
